stage_id,workflow_component,operating_area,trigger_schedule,runs_per_cadence,cadence,annualization_factor,planned_input_tokens_per_run,planned_output_tokens_per_run,model,input_price_per_1m,output_price_per_1m,retry_rate_percent,qa_eval_multiplier,base_cost_per_run,adjusted_cost_per_run,cost_per_cadence,estimated_annual_cost,notebook_measured_avg_cost_per_run,estimate_vs_measured_variance,candidate_notes_assumptions,source_measurement_link,review_flag
TM_021,Customer check-in support,Deployment tracking & outcome measurement,After check-in/follow-up,12,Weekly,52,5000,500,Claude Haiku 4.5,1.000,5.000,6,1.15,0.0075,0.0091,0.1097,5.70,,,Captures follow-up continuity so next interaction is not disconnected.,,
TM_022,Quality review,"Signal monitoring, context assembly & portfolio pattern detection",Weekly standards/context retrieval,150,Weekly,52,5000,0,text-embedding-3-small,0.020,0.000,3,1.05,0.0001,0.0001,0.0162,0.84,,,"Retrieves relevant quality standards, draft context, and account evidence before review.",,
TM_023,Quality review,Quality evaluation & validation,Weekly output review,220,Weekly,52,12000,1800,GPT-5.4,2.500,15.000,22,1.60,0.0570,0.1113,24.4781,1272.86,,,Reviews customer-facing/account-management outputs against standards; higher QA due to risk.,,
TM_024,Quality review,Synthesis & recommendation,Weekly correction guidance,40,Weekly,52,12000,2200,Claude Sonnet 4.6,3.000,15.000,18,1.50,0.0690,0.1221,4.8852,254.03,,,Provides correction guidance for failed or weak outputs.,,
TM_025,Quality review,"Routing, handoff & escalation",Weekly failed-output routing,40,Weekly,52,4500,500,Claude Haiku 4.5,1.000,5.000,10,1.25,0.0070,0.0096,0.3850,20.02,,,"Routes failed outputs for revision, approval, or escalation before customer use.",,
TM_026,Quality review,Deployment tracking & outcome measurement,Weekly correction tracking,40,Weekly,52,3500,350,Claude Haiku 4.5,1.000,5.000,6,1.15,0.0053,0.0064,0.2560,13.31,,,Tracks whether failed outputs were corrected and whether patterns recur.,,
TM_027,Targeted intervention planning,"Signal monitoring, context assembly & portfolio pattern detection",Biweekly declining-account context retrieval,75,Biweekly,26,8000,0,text-embedding-3-small,0.020,0.000,3,1.05,0.0002,0.0002,0.0130,0.34,,,Retrieves evidence for accounts/segments showing declining outcomes.,,
TM_028,Targeted intervention planning,Intervention design,Biweekly segment intervention planning,5,Biweekly,26,40000,5000,Claude Sonnet 4.6,3.000,15.000,22,1.70,0.1950,0.4044,2.0222,52.58,,,"Designs corrective action at segment level; high judgement, stronger model, higher QA.",,
TM_029,Targeted intervention planning,Synthesis & recommendation,Biweekly account-level intervention tailoring,100,Biweekly,26,18000,2500,GPT-5.4,2.500,15.000,18,1.50,0.0825,0.1460,14.6025,379.67,,,Tailors segment intervention logic to priority accounts.,,
TM_030,Targeted intervention planning,Prioritization & queue ranking,Biweekly intervention ranking,75,Biweekly,26,7000,600,Claude Haiku 4.5,1.000,5.000,10,1.25,0.0100,0.0138,1.0313,26.81,,,"Ranks interventions by risk, value, effort, timing, and expected impact.",,
TM_031,Targeted intervention planning,Quality evaluation & validation,Biweekly plan validation,100,Biweekly,26,16000,2000,Claude Sonnet 4.6,3.000,15.000,18,1.55,0.0780,0.1427,14.2662,370.92,,,"Checks intervention plans for evidence, feasibility, specificity, and proportionality.",,
TM_032,Targeted intervention planning,Deployment tracking & outcome measurement,Biweekly outcome check,75,Biweekly,26,6000,700,Claude Haiku 4.5,1.000,5.000,10,1.25,0.0095,0.0131,0.9797,25.47,,,"Measures whether interventions appear to improve risk, usage, or follow-up status.",,
TM_033,"Routing for resolution, follow-up, or escalation","Intake, classification & triage",24/7 urgent intake,5,Calendar day,365,5000,450,Claude Haiku 4.5,1.000,5.000,10,1.25,0.0073,0.0100,0.0498,18.19,,,Covers urgent account-health changes and after-hours issue intake beyond business-day review.,,
TM_034,"Routing for resolution, follow-up, or escalation","Routing, handoff & escalation",24/7 routing decision,5,Calendar day,365,6000,600,Claude Haiku 4.5,1.000,5.000,10,1.30,0.0090,0.0129,0.0644,23.49,,,"Routes urgent work to immediate resolution, scheduled follow-up, or escalation path.",,
TM_035,"Routing for resolution, follow-up, or escalation",Prioritization & queue ranking,24/7 urgent queue reprioritization,10,Calendar day,365,5000,400,Claude Haiku 4.5,1.000,5.000,8,1.20,0.0070,0.0091,0.0907,33.11,,,Re-ranks urgent or ageing items outside the normal daily prioritisation cycle.,,
TM_036,"Routing for resolution, follow-up, or escalation",Deployment tracking & outcome measurement,24/7 unresolved escalation check,10,Calendar day,365,4000,350,Claude Haiku 4.5,1.000,5.000,6,1.15,0.0058,0.0070,0.0701,25.58,,,Checks unresolved escalations and returns stale items to prioritisation.,,
TM_037,"Routing for resolution, follow-up, or escalation",Synthesis & recommendation,Complex escalation review,3,Calendar day,365,30000,5000,GPT-5.5,5.000,30.000,20,1.75,0.3000,0.6300,1.8900,689.85,,,Premium-model review for up to three complex/ambiguous escalation cases per day.,,
