stage_id,workflow_component,operating_area,trigger_schedule,model,num_calls,avg_measured_input_tokens,avg_measured_output_tokens,avg_measured_cost_per_run,avg_adjusted_measured_cost_per_run,notebook_measured_avg_cost_per_run,planned_input_tokens_per_run,planned_output_tokens_per_run,planned_cost_per_run,variance_pct,estimate_vs_measured_variance,review_flag,source_measurement_link,source_output_file
TM_015,Inbound issue handling,"Routing, handoff & escalation",On issue routing decision,Claude Haiku 4.5,12,492.1,70.8,0.000846,0.001164,0.001164,5000,500,0.010313,-91.79,-88.7%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_016,Inbound issue handling,Intervention design,Weekly issue-pattern review,GPT-5.4,3,469.0,181.7,0.003898,0.006499,0.006499,14000,2200,0.11339,-96.56,-94.3%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",Before scheduled check-in,text-embedding-3-small,12,172.0,101.0,3e-06,4e-06,4e-06,7000,0,0.000151,-97.73,-97.5%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_018,Customer check-in support,Customer check-in & communication support,Before scheduled check-in,Claude Sonnet 4.6,12,430.6,148.3,0.003517,0.005864,0.005864,18000,3000,0.165082,-97.87,-96.4%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_019,Customer check-in support,Synthesis & recommendation,Before scheduled check-in,GPT-5.4,12,424.4,148.3,0.003286,0.004968,0.004968,14000,1800,0.093744,-96.49,-94.7%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_020,Customer check-in support,Prioritization & queue ranking,Weekly check-in prioritization,Claude Haiku 4.5,12,442.9,87.8,0.000882,0.001103,0.001103,5000,350,0.008443,-89.55,-86.9%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_021,Customer check-in support,Deployment tracking & outcome measurement,After check-in/follow-up,Claude Haiku 4.5,12,393.7,49.0,0.000639,0.000779,0.000779,5000,500,0.009142,-93.01,-91.5%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_022,Quality review,"Signal monitoring, context assembly & portfolio pattern detection",Weekly standards/context retrieval,text-embedding-3-small,8,143.4,69.0,3e-06,3e-06,3e-06,5000,0,0.000108,-97.35,-97.1%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_023,Quality review,Quality evaluation & validation,Weekly output review,GPT-5.4,8,609.1,76.5,0.00267,0.005212,0.005212,12000,1800,0.111264,-97.6,-95.3%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_024,Quality review,Synthesis & recommendation,Weekly correction guidance,Claude Sonnet 4.6,4,615.2,99.0,0.003331,0.005895,0.005895,12000,2200,0.12213,-97.27,-95.2%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_025,Quality review,"Routing, handoff & escalation",Weekly failed-output routing,Claude Haiku 4.5,4,494.0,66.2,0.000825,0.001135,0.001135,4500,500,0.009625,-91.43,-88.2%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_026,Quality review,Deployment tracking & outcome measurement,Weekly correction tracking,Claude Haiku 4.5,4,390.0,49.0,0.000635,0.000774,0.000774,3500,350,0.0064,-90.08,-87.9%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_027,Targeted intervention planning,"Signal monitoring, context assembly & portfolio pattern detection",Biweekly declining-account context retrieval,text-embedding-3-small,9,227.0,154.0,5e-06,5e-06,5e-06,8000,0,0.000173,-97.38,-97.2%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_028,Targeted intervention planning,Intervention design,Biweekly segment intervention planning,Claude Sonnet 4.6,9,473.0,197.4,0.004381,0.009086,0.009086,40000,5000,0.40443,-98.92,-97.8%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_029,Targeted intervention planning,Synthesis & recommendation,Biweekly account-level intervention tailoring,GPT-5.4,9,474.0,197.4,0.004147,0.00734,0.00734,18000,2500,0.146025,-97.16,-95.0%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_030,Targeted intervention planning,Prioritization & queue ranking,Biweekly intervention ranking,Claude Haiku 4.5,9,445.0,90.8,0.000899,0.001236,0.001236,7000,600,0.01375,-93.46,-91.0%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_031,Targeted intervention planning,Quality evaluation & validation,Biweekly plan validation,Claude Sonnet 4.6,9,509.0,60.0,0.002427,0.004439,0.004439,16000,2000,0.142662,-98.3,-96.9%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_032,Targeted intervention planning,Deployment tracking & outcome measurement,Biweekly outcome check,Claude Haiku 4.5,9,402.2,56.0,0.000682,0.000938,0.000938,6000,700,0.013063,-94.78,-92.8%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_033,"Routing for resolution, follow-up, or escalation","Intake, classification & triage",24/7 urgent intake,Claude Haiku 4.5,6,697.3,221.2,0.001803,0.002479,0.002479,5000,450,0.009969,-81.91,-75.1%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_034,"Routing for resolution, follow-up, or escalation","Routing, handoff & escalation",24/7 routing decision,Claude Haiku 4.5,6,503.2,69.5,0.000851,0.001216,0.001216,6000,600,0.01287,-93.39,-90.5%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_035,"Routing for resolution, follow-up, or escalation",Prioritization & queue ranking,24/7 urgent queue reprioritization,Claude Haiku 4.5,6,450.2,90.8,0.000904,0.001172,0.001172,5000,400,0.009072,-90.03,-87.1%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_036,"Routing for resolution, follow-up, or escalation",Deployment tracking & outcome measurement,24/7 unresolved escalation check,Claude Haiku 4.5,6,408.7,56.8,0.000693,0.000845,0.000845,4000,350,0.007009,-90.12,-88.0%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
TM_037,"Routing for resolution, follow-up, or escalation",Synthesis & recommendation,Complex escalation review,GPT-5.5,3,539.0,162.0,0.007555,0.015866,0.015866,30000,5000,0.63,-98.8,-97.5%,Measured cost materially below original estimate,outputs/stage_token_counts.csv,outputs/stage_token_counts.csv
